gen	nblocks	count
1	22	2000
2	16	1
2	17	4
2	18	4
2	19	19
2	20	38
2	21	55
2	22	94
2	23	145
2	24	177
2	25	279
2	26	324
2	27	393
2	28	410
2	29	383
2	30	394
2	31	352
2	32	275
2	33	237
2	34	168
2	35	102
2	36	56
2	37	48
2	38	16
2	39	12
2	40	8
2	41	3
2	42	3
3	7	3
3	8	1
3	9	5
3	10	9
3	11	19
3	12	38
3	13	79
3	14	110
3	15	148
3	16	240
3	17	299
3	18	402
3	19	481
3	20	535
3	21	640
3	22	670
3	23	660
3	24	630
3	25	578
3	26	564
3	27	479
3	28	366
3	29	283
3	30	239
3	31	183
3	32	114
3	33	85
3	34	56
3	35	41
3	36	22
3	37	8
3	38	6
3	39	3
3	40	1
3	41	1
3	42	2
4	1	1
4	3	5
4	4	22
4	5	53
4	6	105
4	7	193
4	8	301
4	9	481
4	10	631
4	11	831
4	12	1094
4	13	1245
4	14	1320
4	15	1345
4	16	1409
4	17	1282
4	18	1155
4	19	1042
4	20	890
4	21	689
4	22	543
4	23	427
4	24	302
4	25	199
4	26	166
4	27	92
4	28	72
4	29	43
4	30	27
4	31	16
4	32	8
4	33	4
4	34	2
4	35	1
4	36	1
4	37	1
4	38	1
4	40	1
5	0	11
5	1	69
5	2	225
5	3	529
5	4	970
5	5	1534
5	6	2207
5	7	2699
5	8	3150
5	9	3297
5	10	3134
5	11	2997
5	12	2600
5	13	2246
5	14	1848
5	15	1393
5	16	1024
5	17	724
5	18	512
5	19	316
5	20	214
5	21	109
5	22	82
5	23	48
5	24	21
5	25	15
5	26	10
5	27	11
5	28	1
5	29	1
5	30	1
5	32	2
6	0	586
6	1	2074
6	2	4286
6	3	6228
6	4	7503
6	5	8357
6	6	8065
6	7	7065
6	8	5953
6	9	4470
6	10	3277
6	11	2249
6	12	1551
6	13	953
6	14	609
6	15	350
6	16	184
6	17	117
6	18	56
6	19	39
6	20	11
6	21	7
6	22	3
6	23	3
6	24	2
6	25	1
6	26	1
7	0	8204
7	1	16793
7	2	21646
7	3	21934
7	4	18653
7	5	14586
7	6	10260
7	7	6636
7	8	4113
7	9	2408
7	10	1353
7	11	684
7	12	366
7	13	201
7	14	89
7	15	39
7	16	17
7	17	10
7	18	6
7	19	1
7	21	1
8	0	50834
8	1	62603
8	2	54187
8	3	38351
8	4	23427
8	5	13402
8	6	6941
8	7	3402
8	8	1634
8	9	712
8	10	287
8	11	131
8	12	54
8	13	19
8	14	9
8	15	4
8	16	2
8	18	1
9	0	200695
9	1	147383
9	2	86634
9	3	43757
9	4	19895
9	5	8389
9	6	3346
9	7	1231
9	8	429
9	9	160
9	10	57
9	11	18
9	12	3
9	13	3
10	0	599380
10	1	258124
10	2	107391
10	3	39397
10	4	13576
10	5	4301
10	6	1311
10	7	384
10	8	101
10	9	30
10	10	5
11	0	1516430
11	1	373825
11	2	114559
11	3	31858
11	4	8540
11	5	2156
11	6	497
11	7	100
11	8	26
11	9	8
11	10	1
