count	gen	nblocks
0	1	0
0	1	1
0	1	2
0	1	3
0	1	4
0	1	5
0	1	6
0	1	7
0	1	8
0	1	9
0	1	10
0	1	11
0	1	12
0	1	13
0	1	14
1	1	15
1	1	16
3	1	17
10	1	18
44	1	19
86	1	20
192	1	21
379	1	22
612	1	23
943	1	24
1408	1	25
1833	1	26
2071	1	27
2261	1	28
2343	1	29
2081	1	30
1701	1	31
1429	1	32
991	1	33
644	1	34
411	1	35
282	1	36
144	1	37
67	1	38
34	1	39
17	1	40
5	1	41
7	1	42
0	2	0
0	2	1
0	2	2
0	2	3
0	2	4
0	2	5
0	2	6
1	2	7
1	2	8
0	2	9
12	2	10
30	2	11
62	2	12
132	2	13
277	2	14
478	2	15
824	2	16
1292	2	17
1783	2	18
2430	2	19
3041	2	20
3339	2	21
3837	2	22
3921	2	23
3893	2	24
3464	2	25
2994	2	26
2434	2	27
1846	2	28
1387	2	29
965	2	30
629	2	31
395	2	32
217	2	33
163	2	34
63	2	35
43	2	36
26	2	37
9	2	38
9	2	39
2	2	40
1	2	41
0	2	42
0	3	0
0	3	1
2	3	2
4	3	3
23	3	4
68	3	5
209	3	6
533	3	7
946	3	8
1722	3	9
2735	3	10
3931	3	11
5334	3	12
6506	3	13
7527	3	14
8057	3	15
7827	3	16
7469	3	17
6888	3	18
5489	3	19
4455	3	20
3343	3	21
2442	3	22
1692	3	23
1167	3	24
714	3	25
376	3	26
245	3	27
139	3	28
85	3	29
40	3	30
19	3	31
8	3	32
4	3	33
1	3	34
0	3	35
0	3	36
0	3	37
0	3	38
0	3	39
0	3	40
0	3	41
0	3	42
20	4	0
123	4	1
532	4	2
1441	4	3
3423	4	4
6466	4	5
10047	4	6
13793	4	7
16932	4	8
18398	4	9
18720	4	10
17145	4	11
14854	4	12
11883	4	13
9005	4	14
6329	4	15
4387	4	16
2793	4	17
1646	4	18
998	4	19
512	4	20
289	4	21
137	4	22
69	4	23
26	4	24
16	4	25
9	4	26
2	4	27
3	4	28
1	4	29
0	4	30
1	4	31
0	4	32
0	4	33
0	4	34
0	4	35
0	4	36
0	4	37
0	4	38
0	4	39
0	4	40
0	4	41
0	4	42
1275	5	0
6368	5	1
16344	5	2
28880	5	3
39765	5	4
45993	5	5
46002	5	6
40883	5	7
32175	5	8
23691	5	9
15835	5	10
10084	5	11
6024	5	12
3387	5	13
1662	5	14
873	5	15
408	5	16
197	5	17
90	5	18
33	5	19
19	5	20
7	5	21
5	5	22
0	5	23
0	5	24
0	5	25
0	5	26
0	5	27
0	5	28
0	5	29
0	5	30
0	5	31
0	5	32
0	5	33
0	5	34
0	5	35
0	5	36
0	5	37
0	5	38
0	5	39
0	5	40
0	5	41
0	5	42
26674	6	0
73453	6	1
111015	6	2
122629	6	3
107178	6	4
80847	6	5
53251	6	6
31817	6	7
17197	6	8
8667	6	9
4121	6	10
1824	6	11
820	6	12
330	6	13
117	6	14
37	6	15
16	6	16
6	6	17
1	6	18
0	6	19
0	6	20
0	6	21
0	6	22
0	6	23
0	6	24
0	6	25
0	6	26
0	6	27
0	6	28
0	6	29
0	6	30
0	6	31
0	6	32
0	6	33
0	6	34
0	6	35
0	6	36
0	6	37
0	6	38
0	6	39
0	6	40
0	6	41
0	6	42
205450	7	0
326277	7	1
302785	7	2
212560	7	3
123125	7	4
62325	7	5
28611	7	6
11780	7	7
4608	7	8
1629	7	9
558	7	10
204	7	11
60	7	12
22	7	13
1	7	14
4	7	15
0	7	16
1	7	17
0	7	18
0	7	19
0	7	20
0	7	21
0	7	22
0	7	23
0	7	24
0	7	25
0	7	26
0	7	27
0	7	28
0	7	29
0	7	30
0	7	31
0	7	32
0	7	33
0	7	34
0	7	35
0	7	36
0	7	37
0	7	38
0	7	39
0	7	40
0	7	41
0	7	42
903415	8	0
823432	8	1
480351	8	2
220987	8	3
86947	8	4
31035	8	5
9772	8	6
2908	8	7
858	8	8
219	8	9
57	8	10
16	8	11
2	8	12
1	8	13
0	8	14
0	8	15
0	8	16
0	8	17
0	8	18
0	8	19
0	8	20
0	8	21
0	8	22
0	8	23
0	8	24
0	8	25
0	8	26
0	8	27
0	8	28
0	8	29
0	8	30
0	8	31
0	8	32
0	8	33
0	8	34
0	8	35
0	8	36
0	8	37
0	8	38
0	8	39
0	8	40
0	8	41
0	8	42
2845043	9	0
1478798	9	1
556353	9	2
175135	9	3
48717	9	4
12239	9	5
2897	9	6
645	9	7
135	9	8
28	9	9
9	9	10
1	9	11
0	9	12
0	9	13
0	9	14
0	9	15
0	9	16
0	9	17
0	9	18
0	9	19
0	9	20
0	9	21
0	9	22
0	9	23
0	9	24
0	9	25
0	9	26
0	9	27
0	9	28
0	9	29
0	9	30
0	9	31
0	9	32
0	9	33
0	9	34
0	9	35
0	9	36
0	9	37
0	9	38
0	9	39
0	9	40
0	9	41
0	9	42
7382641	10	0
2157472	10	1
547188	10	2
122129	10	3
24762	10	4
4740	10	5
869	10	6
173	10	7
23	10	8
3	10	9
0	10	10
0	10	11
0	10	12
0	10	13
0	10	14
0	10	15
0	10	16
0	10	17
0	10	18
0	10	19
0	10	20
0	10	21
0	10	22
0	10	23
0	10	24
0	10	25
0	10	26
0	10	27
0	10	28
0	10	29
0	10	30
0	10	31
0	10	32
0	10	33
0	10	34
0	10	35
0	10	36
0	10	37
0	10	38
0	10	39
0	10	40
0	10	41
0	10	42
