gen	nrec1	nrec2	0	1	2	3	4	5	6	7
4	2	2	116	132	90	31	15	0	0	0
8	6	6	1886	19	0	0	0	0	0	0
9	5	8	124	0	0	0	0	0	0	0
8	5	5	799	19	1	0	0	0	0	0
9	6	5	319	5	0	0	0	0	0	0
10	10	7	47	0	0	0	0	0	0	0
5	5	3	399	43	9	2	1	0	0	0
9	6	7	1436	8	0	1	0	0	0	0
9	8	7	514	1	0	0	0	0	0	0
5	5	5	162	2	2	0	0	0	0	0
8	8	7	55	1	0	0	0	0	0	0
9	9	8	19	0	0	0	0	0	0	0
9	8	5	148	1	0	0	0	0	0	0
6	5	5	1442	40	7	3	0	1	0	0
8	8	5	92	1	0	0	0	0	0	0
7	5	5	2121	65	9	0	1	0	0	0
10	9	9	105	0	0	0	0	0	0	0
6	6	3	42	3	0	0	0	0	0	0
8	6	8	122	0	0	0	0	0	0	0
10	9	7	377	0	0	0	0	0	0	0
7	5	6	1334	29	2	0	0	0	0	0
7	4	7	108	5	0	0	0	0	0	0
10	9	5	10	0	0	0	0	0	0	0
8	5	7	581	7	2	0	0	0	0	0
7	5	4	871	45	9	0	0	0	0	0
7	5	7	226	2	0	0	0	0	0	0
9	6	9	55	0	0	0	0	0	0	0
10	10	9	13	0	0	0	0	0	0	0
6	6	5	282	1	1	0	0	0	0	0
10	6	7	654	1	0	0	0	0	0	0
10	8	6	518	1	0	0	0	0	0	0
10	7	6	631	3	1	0	0	0	0	0
6	3	3	39	8	2	1	1	0	0	0
4	3	4	991	174	31	7	1	1	0	0
5	3	4	1613	264	63	18	6	2	0	0
7	6	6	808	4	0	1	0	0	0	0
10	6	5	23	0	0	0	0	0	0	0
10	6	9	179	0	0	0	0	0	0	0
10	7	8	1231	3	0	0	0	0	0	0
6	3	5	256	25	6	1	0	0	0	0
4	3	2	666	319	148	56	10	3	0	0
6	4	4	1830	200	32	6	0	0	0	0
8	7	6	906	5	0	0	0	0	0	0
7	6	4	533	22	2	1	0	0	0	0
9	7	6	1345	4	2	1	0	0	0	0
10	7	10	47	0	0	0	0	0	0	0
9	9	6	79	0	0	0	0	0	0	0
6	4	6	331	14	1	0	0	0	0	0
8	7	4	53	1	2	0	0	0	0	0
10	8	10	32	0	0	0	0	0	0	0
9	5	5	87	0	0	0	0	0	0	0
10	5	7	49	0	0	0	0	0	0	0
5	4	3	1529	246	74	12	2	0	0	0
9	7	8	555	0	0	0	0	0	0	0
9	5	7	358	6	0	0	0	0	0	0
10	5	5	4	0	0	0	0	0	0	0
10	8	7	1209	4	0	0	0	0	0	0
8	4	6	114	4	0	0	0	0	0	0
10	5	9	6	0	0	0	0	0	0	0
9	8	8	205	0	0	0	0	0	0	0
8	4	4	3	0	0	0	0	0	0	0
7	7	5	216	1	0	0	0	0	0	0
2	2	1	386	726	757	438	144	30	9	0
2	1	1	19	414	941	715	329	78	9	0
8	6	5	1252	14	3	0	0	0	0	0
8	7	8	58	0	0	0	0	0	0	0
4	4	3	1019	149	27	8	3	0	0	0
5	3	3	986	277	99	24	6	2	0	0
7	4	5	851	56	9	2	0	0	0	0
8	4	8	9	0	0	0	0	0	0	0
8	6	7	983	5	0	0	0	0	0	0
9	5	9	17	0	0	0	0	0	0	0
9	6	6	1369	12	3	0	0	0	0	0
9	9	5	15	1	0	0	0	0	0	0
9	8	6	532	1	0	0	0	0	0	0
5	4	4	2223	182	45	7	5	0	0	0
6	5	6	282	4	1	0	0	0	0	0
3	2	2	1652	1481	927	374	119	18	6	1
10	9	10	11	0	0	0	0	0	0	0
9	9	9	2	0	0	0	0	0	0	0
5	5	4	562	38	13	4	0	0	0	0
6	5	4	1682	77	14	2	0	0	0	0
3	2	3	1257	591	215	85	25	3	2	1
10	9	8	331	0	0	0	0	0	0	0
7	4	4	346	27	6	0	0	0	0	0
8	8	4	11	0	0	0	0	0	0	0
10	9	6	161	1	0	0	0	0	0	0
10	10	6	18	0	0	0	0	0	0	0
8	5	4	93	4	0	0	0	0	0	0
5	4	5	609	26	6	2	1	0	0	0
7	4	6	498	20	3	2	0	0	0	0
10	8	9	339	1	0	0	0	0	0	0
8	8	6	134	0	0	0	0	0	0	0
8	5	6	1336	21	1	0	0	0	0	0
10	6	10	21	0	0	0	0	0	0	0
9	6	8	504	1	0	0	0	0	0	0
6	6	6	61	1	1	0	0	0	0	0
10	6	8	545	1	0	0	0	0	0	0
10	7	5	52	1	0	0	0	0	0	0
9	9	7	66	0	0	0	0	0	0	0
6	6	4	361	10	2	0	0	1	0	0
5	3	5	385	40	7	2	0	0	0	0
10	8	8	982	1	0	0	0	0	0	0
10	6	6	276	5	0	0	0	0	0	0
10	7	7	1565	6	2	1	0	0	0	0
6	3	4	296	46	11	5	1	0	0	0
6	4	5	1742	97	19	4	0	0	0	0
7	6	7	146	0	0	0	0	0	0	0
9	7	7	1433	2	0	0	0	0	0	0
10	7	9	403	0	0	0	0	0	0	0
6	3	6	50	4	0	0	0	0	0	0
4	3	3	2583	714	215	63	13	2	1	0
8	7	7	420	0	0	0	0	0	0	0
7	6	5	1329	30	2	0	0	1	0	0
9	7	5	323	3	0	0	0	0	0	0
8	8	8	6	0	0	0	0	0	0	0
8	5	8	83	0	0	0	0	0	0	0
3	3	2	1226	564	260	86	21	6	1	0
10	8	5	35	0	0	0	0	0	0	0
10	10	8	36	0	0	0	0	0	0	0
10	5	6	20	0	0	0	0	0	0	0
6	4	3	311	41	13	3	0	0	0	0
9	7	9	84	1	0	0	0	0	0	0
7	7	7	27	0	0	0	0	0	0	0
3	3	3	765	208	80	23	3	0	0	0
10	10	5	4	0	0	0	0	0	0	0
9	5	6	316	7	0	0	0	0	0	0
8	4	7	58	0	0	0	0	0	0	0
6	5	3	258	18	6	1	0	0	0	0
2	1	2	363	779	774	429	137	39	4	0
10	5	8	32	0	0	0	0	0	0	0
4	2	4	286	77	30	3	4	0	0	0
1	1	1	111	1605	3715	3003	1204	295	61	6
10	10	10	2	0	0	0	0	0	0	0
8	4	5	91	6	1	0	0	0	0	0
2	2	2	874	831	494	208	63	10	0	0
9	8	9	35	0	0	0	0	0	0	0
4	2	3	671	298	135	45	8	2	1	0
8	7	5	583	5	1	0	0	0	0	0
7	7	4	93	1	1	0	0	0	0	0
4	4	4	404	34	13	1	1	0	0	0
8	6	4	147	2	0	0	0	0	0	0
7	7	6	135	0	0	0	0	0	0	0
4	4	2	287	74	31	5	2	0	0	0
