count	gen	nblocks	prob
1	2	17	0.0025
1	2	18	0.0025
3	2	19	0.0075
2	2	20	0.005
5	2	21	0.0125
10	2	22	0.025
12	2	23	0.03
12	2	24	0.03
22	2	25	0.055
39	2	26	0.0975
35	2	27	0.0875
36	2	28	0.09
39	2	29	0.0975
41	2	30	0.1025
36	2	31	0.09
28	2	32	0.07
25	2	33	0.0625
24	2	34	0.06
9	2	35	0.0225
8	2	36	0.02
5	2	37	0.0125
4	2	38	0.01
1	2	39	0.0025
1	2	40	0.0025
1	2	41	0.0025
5	3	10	0.00625
1	3	11	0.00125
1	3	12	0.00125
5	3	13	0.00625
16	3	14	0.02
16	3	15	0.02
17	3	16	0.02125
36	3	17	0.045
38	3	18	0.0475
50	3	19	0.0625
48	3	20	0.06
74	3	21	0.0925
66	3	22	0.0825
70	3	23	0.0875
69	3	24	0.08625
65	3	25	0.08125
39	3	26	0.04875
40	3	27	0.05
29	3	28	0.03625
33	3	29	0.04125
31	3	30	0.03875
13	3	31	0.01625
15	3	32	0.01875
8	3	33	0.01
5	3	34	0.00625
4	3	35	0.005
3	3	36	0.00375
2	3	37	0.0025
1	3	39	0.00125
5	4	4	0.003125
7	4	5	0.004375
9	4	6	0.005625
17	4	7	0.010625
24	4	8	0.015
44	4	9	0.0275
67	4	10	0.041875
89	4	11	0.055625
109	4	12	0.068125
104	4	13	0.065
135	4	14	0.084375
156	4	15	0.0975
150	4	16	0.09375
124	4	17	0.0775
124	4	18	0.0775
108	4	19	0.0675
75	4	20	0.046875
64	4	21	0.04
51	4	22	0.031875
50	4	23	0.03125
27	4	24	0.016875
19	4	25	0.011875
16	4	26	0.01
7	4	27	0.004375
11	4	28	0.006875
4	4	29	0.0025
1	4	30	0.000625
3	4	31	0.001875
5	5	1	0.0015625
27	5	2	0.0084375
75	5	3	0.0234375
96	5	4	0.03
167	5	5	0.0521875
211	5	6	0.0659375
259	5	7	0.0809375
310	5	8	0.096875
334	5	9	0.104375
313	5	10	0.0978125
290	5	11	0.090625
253	5	12	0.0790625
209	5	13	0.0653125
190	5	14	0.059375
142	5	15	0.044375
101	5	16	0.0315625
78	5	17	0.024375
49	5	18	0.0153125
34	5	19	0.010625
26	5	20	0.008125
11	5	21	0.0034375
9	5	22	0.0028125
2	5	23	0.000625
4	5	24	0.00125
1	5	25	0.0003125
2	5	26	0.000625
1	5	29	0.0003125
1	5	31	0.0003125
53	6	0	0.00828125
213	6	1	0.03328125
427	6	2	0.06671875
659	6	3	0.10296875
785	6	4	0.12265625
826	6	5	0.1290625
789	6	6	0.12328125
686	6	7	0.1071875
580	6	8	0.090625
417	6	9	0.06515625
347	6	10	0.05421875
243	6	11	0.03796875
137	6	12	0.02140625
95	6	13	0.01484375
72	6	14	0.01125
28	6	15	0.004375
26	6	16	0.0040625
5	6	17	0.00078125
8	6	18	0.00125
2	6	19	0.0003125
2	6	20	0.0003125
819	7	0	0.063984375
1629	7	1	0.127265625
2221	7	2	0.173515625
2169	7	3	0.169453125
1902	7	4	0.14859375
1431	7	5	0.111796875
1061	7	6	0.082890625
691	7	7	0.053984375
406	7	8	0.03171875
208	7	9	0.01625
120	7	10	0.009375
71	7	11	0.005546875
36	7	12	0.0028125
21	7	13	0.001640625
12	7	14	0.0009375
1	7	15	7.8125e-05
1	7	17	7.8125e-05
1	7	20	7.8125e-05
5071	8	0	0.1980859375
6174	8	1	0.241171875
5360	8	2	0.209375
3901	8	3	0.1523828125
2454	8	4	0.095859375
1349	8	5	0.0526953125
672	8	6	0.02625
342	8	7	0.013359375
153	8	8	0.0059765625
75	8	9	0.0029296875
33	8	10	0.0012890625
9	8	11	0.0003515625
5	8	12	0.0001953125
2	8	14	7.8125e-05
20061	9	0	0.39181640625
14659	9	1	0.28630859375
8700	9	2	0.169921875
4359	9	3	0.08513671875
2062	9	4	0.0402734375
856	9	5	0.01671875
324	9	6	0.006328125
122	9	7	0.0023828125
37	9	8	0.00072265625
14	9	9	0.0002734375
5	9	10	9.765625e-05
1	9	12	1.953125e-05
60184	10	0	0.587734375
25655	10	1	0.250537109375
10629	10	2	0.103798828125
3974	10	3	0.03880859375
1345	10	4	0.013134765625
433	10	5	0.004228515625
129	10	6	0.001259765625
41	10	7	0.000400390625
8	10	8	7.8125e-05
2	10	9	1.953125e-05
151365	11	0	0.739086914063
37592	11	1	0.1835546875
11447	11	2	0.0558935546875
3286	11	3	0.016044921875
806	11	4	0.003935546875
231	11	5	0.0011279296875
53	11	6	0.0002587890625
16	11	7	7.8125e-05
2	11	8	9.765625e-06
2	11	9	9.765625e-06
