count	gen	nblocks	prob
111	2	0	0.2775
196	2	1	0.49
67	2	2	0.1675
24	2	3	0.06
2	2	4	0.005
366	3	0	0.4575
218	3	1	0.2725
173	3	2	0.21625
33	3	3	0.04125
10	3	4	0.0125
1027	4	0	0.641875
312	4	1	0.195
193	4	2	0.120625
48	4	3	0.03
17	4	4	0.010625
3	4	5	0.001875
2441	5	0	0.7628125
428	5	1	0.13375
242	5	2	0.075625
68	5	3	0.02125
18	5	4	0.005625
3	5	5	0.0009375
5397	6	0	0.84328125
652	6	1	0.101875
256	6	2	0.04
84	6	3	0.013125
10	6	4	0.0015625
1	6	5	0.00015625
11581	7	0	0.904765625
830	7	1	0.06484375
293	7	2	0.022890625
81	7	3	0.006328125
14	7	4	0.00109375
1	7	6	7.8125e-05
24132	8	0	0.94265625
1059	8	1	0.0413671875
327	8	2	0.0127734375
68	8	3	0.00265625
13	8	4	0.0005078125
1	8	5	3.90625e-05
49441	9	0	0.96564453125
1328	9	1	0.0259375
354	9	2	0.0069140625
58	9	3	0.0011328125
18	9	4	0.0003515625
1	9	5	1.953125e-05
100447	10	0	0.980927734375
1544	10	1	0.015078125
336	10	2	0.00328125
62	10	3	0.00060546875
11	10	4	0.000107421875
202503	11	0	0.988784179687
1891	11	1	0.0092333984375
335	11	2	0.0016357421875
61	11	3	0.0002978515625
9	11	4	4.39453125e-05
1	11	5	4.8828125e-06
