count	gen	nblocks	prob
118	2	0	0.295
193	2	1	0.4825
70	2	2	0.175
14	2	3	0.035
4	2	4	0.01
1	2	5	0.0025
167	3	0	0.278333333333
237	3	1	0.395
161	3	2	0.268333333333
29	3	3	0.0483333333333
6	3	4	0.01
401	4	0	0.401
333	4	1	0.333
201	4	2	0.201
55	4	3	0.055
7	4	4	0.007
3	4	5	0.003
824	5	0	0.515
427	5	1	0.266875
262	5	2	0.16375
71	5	3	0.044375
16	5	4	0.01
1587	6	0	0.610384615385
653	6	1	0.251153846154
259	6	2	0.0996153846154
75	6	3	0.0288461538462
24	6	4	0.00923076923077
2	6	5	0.000769230769231
2986	7	0	0.710952380952
877	7	1	0.20880952381
263	7	2	0.062619047619
61	7	3	0.0145238095238
10	7	4	0.00238095238095
3	7	5	0.000714285714286
5351	8	0	0.786911764706
1070	8	1	0.157352941176
310	8	2	0.0455882352941
59	8	3	0.00867647058824
9	8	4	0.00132352941176
1	8	5	0.000147058823529
9205	9	0	0.836818181818
1342	9	1	0.122
364	9	2	0.0330909090909
76	9	3	0.00690909090909
11	9	4	0.001
2	9	5	0.000181818181818
15820	10	0	0.888764044944
1583	10	1	0.0889325842697
323	10	2	0.0181460674157
65	10	3	0.00365168539326
9	10	4	0.000505617977528
26550	11	0	0.921875
1840	11	1	0.0638888888889
338	11	2	0.0117361111111
61	11	3	0.00211805555556
9	11	4	0.0003125
2	11	5	6.94444444444e-05
