count	gen	nblocks
0	1	0
0	1	1
857	1	2
1824	1	3
1537	1	4
607	1	5
146	1	6
29	1	7
0	1	8
150	2	0
937	2	1
1741	2	2
1383	2	3
584	2	4
179	2	5
21	2	6
4	2	7
1	2	8
793	3	0
1485	3	1
1361	3	2
860	3	3
355	3	4
109	3	5
28	3	6
8	3	7
1	3	8
2460	4	0
1569	4	1
660	4	2
236	4	3
52	4	4
15	4	5
7	4	6
1	4	7
0	4	8
3536	5	0
1027	5	1
330	5	2
87	5	3
12	5	4
6	5	5
2	5	6
0	5	7
0	5	8
4331	6	0
523	6	1
127	6	2
19	6	3
0	6	4
0	6	5
0	6	6
0	6	7
0	6	8
4642	7	0
304	7	1
47	7	2
7	7	3
0	7	4
0	7	5
0	7	6
0	7	7
0	7	8
4842	8	0
139	8	1
17	8	2
1	8	3
1	8	4
0	8	5
0	8	6
0	8	7
0	8	8
4938	9	0
56	9	1
6	9	2
0	9	3
0	9	4
0	9	5
0	9	6
0	9	7
0	9	8
4970	10	0
28	10	1
2	10	2
0	10	3
0	10	4
0	10	5
0	10	6
0	10	7
0	10	8
