count	gen	nblocks	rm
2393	5	0	9
264	5	1	9
50	5	2	9
10	5	3	9
2	5	4	9
0	5	5	9
0	5	6	9
0	5	7	9
0	5	8	9
3869	4	0	7
1046	4	1	7
282	4	2	7
58	4	3	7
18	4	4	7
4	4	5	7
1	4	6	7
0	4	7	7
0	4	8	7
4484	6	0	10
272	6	1	10
50	6	2	10
6	6	3	10
0	6	4	10
0	6	5	10
0	6	6	10
0	6	7	10
0	6	8	10
4507	8	0	13
35	8	1	13
2	8	2	13
0	8	3	13
0	8	4	13
0	8	5	13
0	8	6	13
0	8	7	13
0	8	8	13
1625	10	0	17
1	10	1	17
0	10	2	17
0	10	3	17
0	10	4	17
0	10	5	17
0	10	6	17
0	10	7	17
0	10	8	17
690	4	0	8
158	4	1	8
31	4	2	8
10	4	3	8
1	4	4	8
0	4	5	8
0	4	6	8
0	4	7	8
0	4	8	8
5350	5	0	6
981	5	1	6
247	5	2	6
69	5	3	6
10	5	4	6
0	5	5	6
1	5	6	6
0	5	7	6
0	5	8	6
9	9	0	8
0	9	1	8
1	9	2	8
0	9	3	8
0	9	4	8
0	9	5	8
0	9	6	8
0	9	7	8
0	9	8	8
266	5	0	4
59	5	1	4
20	5	2	4
7	5	3	4
0	5	4	4
0	5	5	4
0	5	6	4
0	5	7	4
0	5	8	4
2451	10	0	12
12	10	1	12
1	10	2	12
0	10	3	12
0	10	4	12
0	10	5	12
0	10	6	12
0	10	7	12
0	10	8	12
1852	8	0	9
48	8	1	9
11	8	2	9
3	8	3	9
0	8	4	9
0	8	5	9
0	8	6	9
0	8	7	9
0	8	8	9
2	9	0	18
0	9	1	18
0	9	2	18
0	9	3	18
0	9	4	18
0	9	5	18
0	9	6	18
0	9	7	18
0	9	8	18
6723	7	0	11
174	7	1	11
19	7	2	11
1	7	3	11
0	7	4	11
0	7	5	11
0	7	6	11
0	7	7	11
0	7	8	11
6734	5	0	8
796	5	1	8
182	5	2	8
27	5	3	8
3	5	4	8
1	5	5	8
0	5	6	8
0	5	7	8
0	5	8	8
0	1	0	2
2591	1	1	2
5565	1	2	2
4526	1	3	2
1799	1	4	2
430	1	5	2
66	1	6	2
13	1	7	2
0	1	8	2
1423	8	0	14
13	8	1	14
1	8	2	14
0	8	3	14
0	8	4	14
0	8	5	14
0	8	6	14
0	8	7	14
0	8	8	14
4153	6	0	7
381	6	1	7
76	6	2	7
15	6	3	7
3	6	4	7
0	6	5	7
0	6	6	7
0	6	7	7
0	6	8	7
2205	3	0	3
1541	3	1	3
681	3	2	3
198	3	3	3
35	3	4	3
9	3	5	3
0	3	6	3
0	3	7	3
0	3	8	3
2821	9	0	15
8	9	1	15
1	9	2	15
1	9	3	15
0	9	4	15
0	9	5	15
0	9	6	15
0	9	7	15
0	9	8	15
41	7	0	6
4	7	1	6
0	7	2	6
0	7	3	6
0	7	4	6
0	7	5	6
0	7	6	6
0	7	7	6
0	7	8	6
2857	4	0	4
1078	4	1	4
409	4	2	4
112	4	3	4
23	4	4	4
3	4	5	4
1	4	6	4
0	4	7	4
0	4	8	4
5115	8	0	10
82	8	1	10
14	8	2	10
4	8	3	10
0	8	4	10
0	8	5	10
0	8	6	10
0	8	7	10
0	8	8	10
383	10	0	18
3	10	1	18
0	10	2	18
0	10	3	18
0	10	4	18
0	10	5	18
0	10	6	18
0	10	7	18
0	10	8	18
1261	6	0	11
65	6	1	11
8	6	2	11
0	6	3	11
1	6	4	11
0	6	5	11
0	6	6	11
0	6	7	11
0	6	8	11
3599	9	0	11
36	9	1	11
3	9	2	11
0	9	3	11
0	9	4	11
0	9	5	11
0	9	6	11
0	9	7	11
0	9	8	11
105	9	0	17
0	9	1	17
0	9	2	17
0	9	3	17
0	9	4	17
0	9	5	17
0	9	6	17
0	9	7	17
0	9	8	17
1272	3	0	6
682	3	1	6
233	3	2	6
52	3	3	6
18	3	4	6
2	3	5	6
1	3	6	6
0	3	7	6
0	3	8	6
2186	2	0	2
3156	2	1	2
3490	2	2	2
2238	2	3	2
753	2	4	2
196	2	5	2
31	2	6	2
0	2	7	2
1	2	8	2
4229	3	0	5
3009	3	1	5
1370	3	2	5
465	3	3	5
118	3	4	5
24	3	5	5
4	3	6	5
0	3	7	5
0	3	8	5
5566	10	0	13
15	10	1	13
4	10	2	13
0	10	3	13
0	10	4	13
0	10	5	13
0	10	6	13
0	10	7	13
0	10	8	13
260	8	0	15
0	8	1	15
0	8	2	15
0	8	3	15
0	8	4	15
0	8	5	15
0	8	6	15
0	8	7	15
0	8	8	15
868	3	0	2
878	3	1	2
476	3	2	2
150	3	3	2
28	3	4	2
4	3	5	2
0	3	6	2
0	3	7	2
0	3	8	2
7783	10	0	14
25	10	1	14
0	10	2	14
0	10	3	14
0	10	4	14
0	10	5	14
0	10	6	14
0	10	7	14
0	10	8	14
1207	6	0	6
103	6	1	6
19	6	2	6
2	6	3	6
2	6	4	6
0	6	5	6
0	6	6	6
0	6	7	6
0	6	8	6
8834	7	0	10
285	7	1	10
43	7	2	10
3	7	3	10
0	7	4	10
1	7	5	10
0	7	6	10
0	7	7	10
0	7	8	10
5674	4	0	5
2036	4	1	5
737	4	2	5
224	4	3	5
49	4	4	5
16	4	5	5
3	4	6	5
0	4	7	5
0	4	8	5
8205	8	0	11
134	8	1	11
17	8	2	11
2	8	3	11
1	8	4	11
0	8	5	11
0	8	6	11
0	8	7	11
0	8	8	11
559	7	0	13
9	7	1	13
0	7	2	13
1	7	3	13
0	7	4	13
0	7	5	13
0	7	6	13
0	7	7	13
0	7	8	13
43	10	0	19
0	10	1	19
0	10	2	19
0	10	3	19
0	10	4	19
0	10	5	19
0	10	6	19
0	10	7	19
0	10	8	19
7099	10	0	15
18	10	1	15
0	10	2	15
0	10	3	15
0	10	4	15
0	10	5	15
0	10	6	15
0	10	7	15
0	10	8	15
536	7	0	7
20	7	1	7
6	7	2	7
1	7	3	7
1	7	4	7
0	7	5	7
0	7	6	7
0	7	7	7
0	7	8	7
1016	9	0	10
12	9	1	10
2	9	2	10
0	9	3	10
0	9	4	10
0	9	5	10
0	9	6	10
0	9	7	10
0	9	8	10
778	9	0	16
2	9	1	16
1	9	2	16
0	9	3	16
0	9	4	16
0	9	5	16
0	9	6	16
0	9	7	16
0	9	8	16
880	2	0	3
3790	2	1	3
3963	2	2	3
2260	2	3	3
823	2	4	3
195	2	5	3
38	2	6	3
5	2	7	3
0	2	8	3
2756	7	0	12
55	7	1	12
6	7	2	12
0	7	3	12
0	7	4	12
0	7	5	12
0	7	6	12
0	7	7	12
0	7	8	12
7748	6	0	8
663	6	1	8
112	6	2	8
24	6	3	8
5	6	4	8
1	6	5	8
0	6	6	8
0	6	7	8
0	6	8	8
100	6	0	12
6	6	1	12
0	6	2	12
0	6	3	12
0	6	4	12
0	6	5	12
0	6	6	12
0	6	7	12
0	6	8	12
0	1	0	0
15010	1	1	0
0	1	2	0
0	1	3	0
0	1	4	0
0	1	5	0
0	1	6	0
0	1	7	0
0	1	8	0
1589	5	0	5
315	5	1	5
67	5	2	5
15	5	3	5
2	5	4	5
0	5	5	5
0	5	6	5
1	5	7	5
0	5	8	5
8185	9	0	13
45	9	1	13
6	9	2	13
0	9	3	13
0	9	4	13
0	9	5	13
0	9	6	13
0	9	7	13
0	9	8	13
8546	6	0	9
570	6	1	9
105	6	2	9
6	6	3	9
3	6	4	9
2	6	5	9
1	6	6	9
0	6	7	9
0	6	8	9
22	8	0	16
0	8	1	16
0	8	2	16
0	8	3	16
0	8	4	16
0	8	5	16
0	8	6	16
0	8	7	16
0	8	8	16
289	5	0	10
31	5	1	10
2	5	2	10
0	5	3	10
0	5	4	10
0	5	5	10
0	5	6	10
0	5	7	10
0	5	8	10
7228	4	0	6
2339	4	1	6
759	4	2	6
230	4	3	6
40	4	4	6
13	4	5	6
1	4	6	6
0	4	7	6
0	4	8	6
7783	8	0	12
117	8	1	12
11	8	2	12
1	8	3	12
0	8	4	12
0	8	5	12
0	8	6	12
0	8	7	12
0	8	8	12
2877	7	0	8
126	7	1	8
23	7	2	8
3	7	3	8
0	7	4	8
0	7	5	8
0	7	6	8
0	7	7	8
0	7	8	8
8414	5	0	7
1396	5	1	7
316	5	2	7
79	5	3	7
11	5	4	7
1	5	5	7
0	5	6	7
0	5	7	7
0	5	8	7
52	7	0	14
0	7	1	14
0	7	2	14
0	7	3	14
0	7	4	14
0	7	5	14
0	7	6	14
0	7	7	14
0	7	8	14
143	9	0	9
3	9	1	9
0	9	2	9
0	9	3	9
0	9	4	9
0	9	5	9
0	9	6	9
0	9	7	9
0	9	8	9
67	10	0	10
0	10	1	10
0	10	2	10
0	10	3	10
0	10	4	10
0	10	5	10
0	10	6	10
0	10	7	10
0	10	8	10
6130	9	0	14
26	9	1	14
4	9	2	14
1	9	3	14
0	9	4	14
0	9	5	14
0	9	6	14
0	9	7	14
0	9	8	14
329	8	0	8
8	8	1	8
0	8	2	8
0	8	3	8
0	8	4	8
0	8	5	8
0	8	6	8
0	8	7	8
0	8	8	8
1	10	0	20
0	10	1	20
0	10	2	20
0	10	3	20
0	10	4	20
0	10	5	20
0	10	6	20
0	10	7	20
