count	gen	nblocks
0	1	0
2935	1	1
889	1	2
773	1	3
315	1	4
70	1	5
18	1	6
0	1	7
696	2	0
1594	2	1
1476	2	2
866	2	3
280	2	4
76	2	5
10	2	6
2	2	7
2180	3	0
1598	3	1
838	3	2
310	3	3
58	3	4
15	3	5
1	3	6
0	3	7
3358	4	0
1117	4	1
396	4	2
104	4	3
21	4	4
3	4	5
1	4	6
0	4	7
4116	5	0
675	5	1
167	5	2
37	5	3
4	5	4
1	5	5
0	5	6
0	5	7
4601	6	0
327	6	1
64	6	2
7	6	3
1	6	4
0	6	5
0	6	6
0	6	7
4819	7	0
146	7	1
29	7	2
6	7	3
0	7	4
0	7	5
0	7	6
0	7	7
4916	8	0
71	8	1
12	8	2
1	8	3
0	8	4
0	8	5
0	8	6
0	8	7
4967	9	0
28	9	1
4	9	2
0	9	3
1	9	4
0	9	5
0	9	6
0	9	7
4985	10	0
15	10	1
0	10	2
0	10	3
0	10	4
0	10	5
0	10	6
0	10	7
