count	gen	nblocks
1469	(4, 3, 4)	0
239	(4, 3, 4)	1
68	(4, 3, 4)	2
9	(4, 3, 4)	3
3	(4, 3, 4)	4
223	(4, 2, 2)	0
211	(4, 2, 2)	1
90	(4, 2, 2)	2
56	(4, 2, 2)	3
13	(4, 2, 2)	4
2	(4, 2, 2)	5
421	(6, 3, 4)	0
71	(6, 3, 4)	1
18	(6, 3, 4)	2
4	(6, 3, 4)	3
1	(6, 3, 4)	5
2555	(6, 4, 5)	0
112	(6, 4, 5)	1
21	(6, 4, 5)	2
3	(6, 4, 5)	3
425	(6, 3, 5)	0
32	(6, 3, 5)	1
10	(6, 3, 5)	2
1	(6, 3, 5)	3
1011	(4, 3, 2)	0
487	(4, 3, 2)	1
178	(4, 3, 2)	2
67	(4, 3, 2)	3
20	(4, 3, 2)	4
3	(4, 3, 2)	5
1	(4, 3, 2)	6
2850	(6, 4, 4)	0
271	(6, 4, 4)	1
44	(6, 4, 4)	2
16	(6, 4, 4)	3
2324	(5, 3, 4)	0
365	(5, 3, 4)	1
74	(5, 3, 4)	2
27	(5, 3, 4)	3
4	(5, 3, 4)	4
1	(5, 3, 4)	7
92	(6, 3, 6)	0
2	(6, 3, 6)	1
1	(6, 3, 6)	2
3949	(4, 3, 3)	0
1127	(4, 3, 3)	1
346	(4, 3, 3)	2
89	(4, 3, 3)	3
22	(4, 3, 3)	4
4	(4, 3, 3)	5
1	(4, 3, 3)	6
501	(6, 4, 6)	0
14	(6, 4, 6)	1
6	(6, 4, 6)	2
1226	(3, 3, 3)	0
327	(3, 3, 3)	1
95	(3, 3, 3)	2
32	(3, 3, 3)	3
5	(3, 3, 3)	4
1	(3, 3, 3)	5
1851	(3, 3, 2)	0
921	(3, 3, 2)	1
395	(3, 3, 2)	2
137	(3, 3, 2)	3
35	(3, 3, 2)	4
16	(3, 3, 2)	5
1	(3, 3, 2)	6
459	(6, 5, 6)	0
8	(6, 5, 6)	1
1	(6, 5, 6)	3
215	(5, 5, 5)	0
9	(5, 5, 5)	1
1	(5, 5, 5)	2
2349	(3, 2, 2)	0
2178	(3, 2, 2)	1
1376	(3, 2, 2)	2
556	(3, 2, 2)	3
182	(3, 2, 2)	4
22	(3, 2, 2)	5
4	(3, 2, 2)	6
2	(3, 2, 2)	7
432	(6, 4, 3)	0
66	(6, 4, 3)	1
16	(6, 4, 3)	2
6	(6, 4, 3)	3
1	(6, 4, 3)	4
926	(5, 5, 4)	0
45	(5, 5, 4)	1
13	(5, 5, 4)	2
6	(5, 5, 4)	3
2457	(6, 5, 4)	0
113	(6, 5, 4)	1
20	(6, 5, 4)	2
3	(6, 5, 4)	3
1858	(3, 2, 3)	0
885	(3, 2, 3)	1
384	(3, 2, 3)	2
122	(3, 2, 3)	3
34	(3, 2, 3)	4
6	(3, 2, 3)	5
2175	(6, 5, 5)	0
59	(6, 5, 5)	1
8	(6, 5, 5)	2
670	(5, 5, 3)	0
53	(5, 5, 3)	1
11	(5, 5, 3)	2
2	(5, 5, 3)	3
92	(6, 6, 3)	0
6	(6, 6, 3)	1
1	(6, 6, 3)	2
1	(6, 6, 3)	3
402	(6, 5, 3)	0
34	(6, 5, 3)	1
9	(6, 5, 3)	2
3	(6, 5, 3)	3
1514	(5, 3, 3)	0
389	(5, 3, 3)	1
140	(5, 3, 3)	2
34	(5, 3, 3)	3
8	(5, 3, 3)	4
575	(2, 1, 2)	0
1117	(2, 1, 2)	1
1100	(2, 1, 2)	2
657	(2, 1, 2)	3
228	(2, 1, 2)	4
55	(2, 1, 2)	5
5	(2, 1, 2)	6
2258	(5, 4, 3)	0
371	(5, 4, 3)	1
106	(5, 4, 3)	2
21	(5, 4, 3)	3
1	(5, 4, 3)	4
4	(5, 4, 3)	5
400	(4, 2, 4)	0
121	(4, 2, 4)	1
30	(4, 2, 4)	2
13	(4, 2, 4)	3
3	(4, 2, 4)	4
3297	(5, 4, 4)	0
335	(5, 4, 4)	1
67	(5, 4, 4)	2
7	(5, 4, 4)	3
1	(5, 4, 4)	4
1	(5, 4, 4)	5
1339	(2, 2, 2)	0
1219	(2, 2, 2)	1
685	(2, 2, 2)	2
319	(2, 2, 2)	3
97	(2, 2, 2)	4
22	(2, 2, 2)	5
3	(2, 2, 2)	6
880	(5, 4, 5)	0
50	(5, 4, 5)	1
10	(5, 4, 5)	2
1	(5, 4, 5)	3
579	(2, 2, 1)	0
1161	(2, 2, 1)	1
1104	(2, 2, 1)	2
671	(2, 2, 1)	3
216	(2, 2, 1)	4
41	(2, 2, 1)	5
11	(2, 2, 1)	6
1	(2, 2, 1)	7
997	(4, 2, 3)	0
481	(4, 2, 3)	1
202	(4, 2, 3)	2
70	(4, 2, 3)	3
18	(4, 2, 3)	4
4	(4, 2, 3)	5
46	(2, 1, 1)	0
629	(2, 1, 1)	1
1401	(2, 1, 1)	2
1153	(2, 1, 1)	3
433	(2, 1, 1)	4
111	(2, 1, 1)	5
20	(2, 1, 1)	6
2	(2, 1, 1)	7
92	(6, 6, 6)	0
2	(6, 6, 6)	1
601	(4, 4, 4)	0
52	(4, 4, 4)	1
10	(4, 4, 4)	2
2	(4, 4, 4)	3
1	(4, 4, 4)	4
425	(6, 6, 5)	0
6	(6, 6, 5)	1
1429	(4, 4, 3)	0
227	(4, 4, 3)	1
59	(4, 4, 3)	2
11	(4, 4, 3)	3
3	(4, 4, 3)	4
522	(6, 6, 4)	0
20	(6, 6, 4)	1
3	(6, 6, 4)	2
2	(6, 6, 4)	3
684	(5, 3, 5)	0
66	(5, 3, 5)	1
6	(5, 3, 5)	2
3	(5, 3, 5)	3
401	(4, 4, 2)	0
122	(4, 4, 2)	1
35	(4, 4, 2)	2
14	(4, 4, 2)	3
4	(4, 4, 2)	4
2	(4, 4, 2)	5
54	(6, 3, 3)	0
19	(6, 3, 3)	1
10	(6, 3, 3)	2
1	(6, 3, 3)	3
1	(6, 3, 3)	4
