count	gen	nblocks	prob
2537	2	0	0.169133333333
4117	2	1	0.274466666667
4334	2	2	0.288933333333
2758	2	3	0.183866666667
974	2	4	0.0649333333333
248	2	5	0.0165333333333
27	2	6	0.0018
5	2	7	0.000333333333333
7334	3	0	0.488933333333
4342	3	1	0.289466666667
2160	3	2	0.144
871	3	3	0.0580666666667
239	3	4	0.0159333333333
45	3	5	0.003
9	3	6	0.0006
10441	4	0	0.696066666667
3018	4	1	0.2012
1097	4	2	0.0731333333333
350	4	3	0.0233333333333
73	4	4	0.00486666666667
17	4	5	0.00113333333333
4	4	6	0.000266666666667
12743	5	0	0.849533333333
1698	5	1	0.1132
436	5	2	0.0290666666667
105	5	3	0.007
15	5	4	0.001
3	5	5	0.0002
13915	6	0	0.927666666667
871	6	1	0.0580666666667
176	6	2	0.0117333333333
34	6	3	0.00226666666667
3	6	4	0.0002
1	6	5	6.66666666667e-05
