gen	nblocks	count
1	1	2000
2	0	157
2	1	1956
2	2	701
2	3	163
2	4	20
2	5	2
2	6	1
3	0	694
3	1	2316
3	2	1512
3	3	413
3	4	59
3	5	6
4	0	2140
4	1	3227
4	2	1971
4	3	555
4	4	94
4	5	11
4	6	2
5	0	5176
5	1	4678
5	2	2356
5	3	664
5	4	117
5	5	9
6	0	11065
6	1	6386
6	2	2615
6	3	773
6	4	144
6	5	16
6	6	1
7	0	21694
7	1	8468
7	2	2922
7	3	760
7	4	138
7	5	16
7	6	2
8	0	40079
8	1	10813
8	2	3215
8	3	730
8	4	145
8	5	18
9	0	71891
9	1	12932
9	2	3320
9	3	708
9	4	129
9	5	17
9	6	3
10	0	124223
10	1	15665
10	2	3347
10	3	652
10	4	99
10	5	14
11	0	210417
11	1	18296
11	2	3584
11	3	600
11	4	80
11	5	18
11	6	3
11	7	2
