count	gen	nblocks
711	1	0
9786	1	1
3589	1	2
819	1	3
91	1	4
4	1	5
0	1	6
0	1	7
3035	2	0
11404	2	1
8123	2	2
2138	2	3
279	2	4
18	2	5
3	2	6
0	2	7
9487	3	0
16794	3	1
10330	3	2
2905	3	3
429	3	4
52	3	5
3	3	6
0	3	7
24226	4	0
24388	4	1
12216	4	2
3424	4	3
671	4	4
74	4	5
1	4	6
0	4	7
52967	5	0
33643	5	1
13836	5	2
3782	5	3
655	5	4
113	5	5
3	5	6
1	5	7
105441	6	0
44842	6	1
14948	6	2
3946	6	3
714	6	4
97	6	5
11	6	6
1	6	7
197739	7	0
56545	7	1
16232	7	2
3700	7	3
701	7	4
77	7	5
6	7	6
0	7	7
354339	8	0
69705	8	1
16734	8	2
3542	8	3
583	8	4
86	8	5
7	8	6
4	8	7
615462	9	0
82883	9	1
17632	9	2
3410	9	3
512	9	4
93	9	5
6	9	6
2	9	7
1046011	10	0
97099	10	1
18385	10	2
3026	10	3
420	10	4
49	10	5
9	10	6
1	10	7
